Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_dron.PrjPcb|ReportField=ProjectFullPath~D:\PROYECTO_TFG\PCBs\PCB_dronIce2\PCB_dron.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_dron.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~23:37:40|ReportField=ReportDate~02/09/2018|ReportField=ReportDateTime~02/09/2018 23:37:40|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~16|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~02/09/2018|ReportField=CurrentTime~23:37:38|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\PROYECTO_TFG\PCBs\PCB_dronIce2\pcb_dron_schematic.SchDoc|ReportField=DocumentName~pcb_dron_schematic.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~02/09/2018|ReportField=Organization~|ReportField=ProjectName~PCB_dron.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_dron.PrjPcb|ReportField=DataSourceFullPath~D:\PROYECTO_TFG\PCBs\PCB_dronIce2\PCB_dron.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|4PINS-CONNECTOR|||4PINS|4PINS|1
2|IceZumAlhambraII|||IceZumAlhambra|IceZumAlhambra|1
3|MC33926|MC33926||MC33926|MC33926|1
4|MPU6050|||MPU6050|MPU6050|1
5|OV7670|OV7670||OV7670|OV7670|1
6|SWITCH_PCB|||SWITCH_PCB|SWITCH_PCB|1
7|SCREW_2PIN|SCREW_2PIN|LIPO_INPUT, Motor1, Motor2, Motor3, Motor4|SCREW_2PIN|SCREW_2PIN|5
8|Pull-up|Resistor|R1, R2, R3, R4, R5|AXIAL-0.3|Res1|5
